TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
,12033,Adam,Allenspach,Adam Allenspach,C,28.5,31.0,11.9,,3.4,16
,2240,Gilbert,Arenas,Gilbert Arenas,SG,31.5,36.0,,,3.25,12
,2220,Brandon,Armstrong,Brandon Armstrong,SG,30.0,37.0,10.91,,3.2,6
,2203,Shane,Battier,Shane Battier,SF-PF,29.5,33.0,10.95,,3.3,12
,12034,Cookie,Belcher,Cookie Belcher,SG-PG,35.0,41.5,11.26,,2.91,7
,2294,Charlie,Bell,Charlie Bell,PG,31.5,38.0,10.59,,3.12,15
,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,26.5,31.0,11.84,,3.33,6
,12035,Calvin,Bowman,Calvin Bowman,PF,28.5,34.5,11.96,,3.21,7
,2214,Michael,Bradley,Michael Bradley,PF,27.0,30.0,11.11,,3.35,13
,2249,Jamison,Brewer,Jamison Brewer,PG,26.0,32.5,9.65,,3.15,12
,2245,Damone,Brown,Damone Brown,SF,32.0,37.0,11.81,,3.27,6
,2198,Kwame,Brown,Kwame Brown,PF-C,30.0,33.0,11.59,,3.45,17
,12031,SirValiant,Brown,SirValiant Brown,PG,31.0,39.5,11.23,,3.0,10
,12032,Ryan,Carroll,Ryan Carroll,SF-SG,34.5,39.0,11.0,,3.1,14
,2199,Tyson,Chandler,Tyson Chandler,SF-PF,31.0,33.5,12.13,,3.36,2
,2251,Eric,Chenowith,Eric Chenowith,C,23.5,27.5,12.5,,3.59,6
,2439,Sam,Clancy,Sam Clancy,PF,31.0,34.0,11.47,,3.13,15
,12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,31.5,34.5,11.4,,3.23,11
,2260,Jarron,Collins,Jarron Collins,C-PF,23.0,29.0,11.65,,3.6,10
,2215,Jason,Collins,Jason Collins,PF-C,25.5,28.5,12.1,,3.54,8
,2241,Omar,Cook,Omar Cook,PG,31.0,35.5,10.77,,3.2,9
,2201,Eddy,Curry,Eddy Curry,C,28.0,31.0,12.25,,3.53,16
,12037,Tate,Decker,Tate Decker,SF,25.5,28.5,12.19,,3.47,13
,2205,DeSagana,Diop,DeSagana Diop,C,21.5,25.5,12.37,,3.56,15
,12038,Robb,Dryden,Robb Dryden,C,27.0,30.0,12.47,,3.46,8
,12039,Anthony,Evans,Anthony Evans,PF,31.5,33.0,12.56,,3.31,18
,2230,Maurice,Evans,Maurice Evans,SG,34.5,37.5,10.08,,3.12,22
,12150,Benjamin,Eze,Benjamin Eze,C-PF,29.0,32.0,13.05,,3.36,14
,2386,Kimani,Ffriend,Kimani Ffriend,C-PF,32.0,33.0,11.46,,3.09,9
,2228,Alton,Ford,Alton Ford,PF,34.5,36.5,11.7,,3.16,21
,2218,Joseph,Forte,Joseph Forte,SG,26.5,33.0,11.51,,3.19,10
,-1,Jason,Gardner,Jason Gardner,PG,34.5,40.0,10.88,,2.92,9
,12151,Jerry,Green,Jerry Green,PG-SG,28.5,35.0,11.7,,3.17,13
,12152,Kenny,Gregory,Kenny Gregory,SF,39.5,45.5,11.33,,3.1,10
,2204,Eddie,Griffin,Eddie Griffin,PF-SF,26.5,33.0,11.77,,3.21,3
,2239,Trenton,Hassell,Trenton Hassell,SG-SF,35.5,37.5,11.57,,3.29,12
,2213,Kirk,Haston,Kirk Haston,PF-SF,27.0,31.5,12.25,,3.35,11
,12153,Charles,Hathaway,Charles Hathaway,C,,,,,,
,2217,Brendan,Haywood,Brendan Haywood,C,27.0,28.5,12.87,,3.5,17
,12154,Michael,Hicks,Michael Hicks,SG,33.0,40.5,11.38,,3.19,13
,2212,Steven,Hunter,Steven Hunter,C-PF,30.5,38.5,11.99,,3.15,11
,12155,Andre,Hutson,Andre Hutson,PF,29.0,32.5,11.25,,3.3,17
,12156,Nate,James,Nate James,SF,26.0,31.0,11.42,,3.31,23
,2210,Richard,Jefferson,Richard Jefferson,SF,33.0,38.5,11.19,,3.15,14
,2798,Horace,Jenkins,Horace Jenkins,PG,34.5,41.0,10.97,,3.1,2
,12157,Darrell,Johns,Darrell Johns,C,23.5,30.0,12.41,,3.59,18
,2207,Joe,Johnson,Joe Johnson,SF-SG,32.5,36.5,12.05,,3.4,12
,2256,Ken,Johnson,Ken Johnson,C,32.5,35.0,11.27,,3.12,13
,12158,Darren,Kelly,Darren Kelly,SG-PG,30.5,34.5,11.38,,3.21,1
,2253,Sean,Lampley,Sean Lampley,SF,36.0,40.0,11.06,,3.12,12
,12159,Zach,Marbury,Zach Marbury,PG-SG,33.0,36.5,11.53,,3.1,0
,12160,Mike,Mardesich,Mike Mardesich,C-PF,24.0,30.0,11.65,,3.45,8
,12161,DeMarcus,Minor,DeMarcus Minor,SG,29.0,41.0,10.57,,3.15,9
,200081,Jamario,Moon,Jamario Moon,SF,33.0,43.0,11.64,,3.08,0
,2211,Troy,Murphy,Troy Murphy,PF,28.5,34.5,11.22,,3.43,11
,12162,Troy,Ostler,Troy Ostler,PF-SF,26.5,29.5,13.42,,3.5,2
,40046,Lazaros,Papadopoulos,Lazaros Papadopoulos,C-PF,23.0,26.0,12.0,,3.7,4
,12164,Rashad,Phillips,Rashad Phillips,PG,27.0,32.0,11.93,,3.27,5
,12165,Demetrius,Porter,Demetrius Porter,PG,26.0,31.0,11.5,,3.34,5
,12166,Martin,Rancik,Martin Rancik,PF-SF,32.0,37.0,10.77,,3.19,14
,2202,Jason,Richardson,Jason Richardson,SF-SG,32.5,39.5,11.75,,3.12,15
,2369,Norman,Richardson,Norman Richardson,SG,30.5,35.5,10.97,,3.15,2
,2219,Jeryl,Sasser,Jeryl Sasser,PG-SG,29.0,34.0,11.47,,3.22,1
,12167,Kenny,Satterfield,Kenny Satterfield,PG,28.5,33.0,12.05,,3.2,3
,2243,Brian,Scalabrine,Brian Scalabrine,PF-SF,27.0,30.5,11.75,,3.47,14
,12168,Lee,Scruggs,Lee Scruggs,PF-SF,23.5,29.5,13.28,,3.55,0
,2250,Bobby,Simmons,Bobby Simmons,SF,27.5,34.0,11.69,,3.41,12
,2226,Will,Solomon,Will Solomon,PG-SG,28.5,35.0,11.3,,3.22,4
,12169,Greg,Stevenson,Greg Stevenson,SF,30.0,35.5,11.29,,3.23,15
,12170,Damone,Thornton,Damone Thornton,PF,33.5,37.5,11.17,,3.2,19
,2224,Jamaal,Tinsley,Jamaal Tinsley,PG,28.0,37.5,11.96,,3.2,1
,12171,Tory,Walker,Tory Walker,SF,28.0,33.0,11.95,,3.25,7
,12172,Souleymane,Wane,Souleymane Wane,C,29.0,30.5,12.02,,3.46,9
,2248,Earl,Watson,Earl Watson,PG,32.5,37.5,10.97,,3.19,4
,2206,Rodney,White,Rodney White,SF,27.5,33.0,12.07,,3.47,16
,2254,Loren,Woods,Loren Woods,C-PF,24.5,28.0,11.83,,3.48,10
,12040,Brent,Wright,Brent Wright,PF-SF,23.0,29.0,12.25,,3.3,19
,12041,Michael,Wright,Michael Wright,PF,27.5,33.5,11.37,,3.21,18
