Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Greg Oden,Ohio State University,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,1.1,1.6
2,2,SEA,Kevin Durant,University of Texas at Austin,9,641,24208,17566,4518,2363,.483,.380,.882,37.8,27.4,7.0,3.7,107.9,.214,4.8,41.7
3,3,ATL,Al Horford,University of Florida,9,578,19342,8288,5144,1589,.535,.340,.743,33.5,14.3,8.9,2.7,64.2,.159,3.0,24.4
4,4,MEM,Mike Conley,Ohio State University,9,637,20692,8635,1820,3578,.440,.373,.806,32.5,13.6,2.9,5.6,52.8,.123,1.5,18.1
5,5,BOS,Jeff Green,Georgetown University,8,636,20360,8890,3106,1054,.438,.339,.786,32.0,14.0,4.9,1.7,32.0,.075,-1.0,4.9
6,6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.7,-4.1
7,7,MIN,Corey Brewer,University of Florida,9,629,15757,6190,1883,1047,.424,.287,.712,25.1,9.8,3.0,1.7,18.0,.055,-0.9,4.4
8,8,CHA,Brandan Wright,University of North Carolina,8,372,6121,2648,1387,171,.608,.000,.677,16.5,7.1,3.7,0.5,23.3,.183,1.7,5.7
9,9,CHI,Joakim Noah,University of Florida,9,572,16848,5325,5387,1704,.490,.000,.711,29.5,9.3,9.4,3.0,57.3,.163,4.3,26.7
10,10,SAC,Spencer Hawes,University of Washington,9,630,14744,5595,3702,1190,.456,.353,.708,23.4,8.9,5.9,1.9,20.9,.068,-0.7,4.6
11,11,ATL,Acie Law,Texas A&amp;M University,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-5.4,-2.0
12,12,PHI,Thaddeus Young,Georgia Institute of Technology,9,665,20357,9251,3916,1012,.497,.319,.688,30.6,13.9,5.9,1.5,42.6,.101,0.3,11.7
13,13,NOK,Julian Wright,University of Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-1.3,0.5
